"table_name","column_name","data_type"
"temporary_players","id","uuid"
"locations","latitude","double precision"
"locations","longitude","double precision"
"games","id","uuid"
"games","sport","USER-DEFINED"
"games","date","date"
"games","start_time","time without time zone"
"games","end_time","time without time zone"
"games","location_id","uuid"
"games","max_players","smallint"
"games","status","USER-DEFINED"
"games","gender","USER-DEFINED"
"games","created_by","uuid"
"games","created_at","timestamp with time zone"
"games","updated_at","timestamp with time zone"
"games","deleted_at","timestamp with time zone"
"availabilities","id","uuid"
"availabilities","player_id","uuid"
"availabilities","created_at","timestamp with time zone"
"availabilities","expires_at","timestamp with time zone"
"availabilities","deleted_at","timestamp with time zone"
"availability_time_slots","id","uuid"
"availability_time_slots","availability_id","uuid"
"notifications","id","uuid"
"notifications","user_id","uuid"
"notifications","type","USER-DEFINED"
"notifications","game_id","uuid"
"notifications","read","boolean"
"notifications","created_at","timestamp with time zone"
"profiles","id","uuid"
"profiles","is_admin","boolean"
"profiles","blocked","boolean"
"profiles","blocked_at","timestamp with time zone"
"profiles","created_at","timestamp with time zone"
"profiles","updated_at","timestamp with time zone"
"profiles","is_temporary","boolean"
"profiles","created_by","uuid"
"profiles","temporary_id","uuid"
"temporary_players","created_at","timestamp with time zone"
"temporary_players","created_by","uuid"
"temporary_players","game_id","uuid"
"game_temporary_players","id","uuid"
"game_temporary_players","game_id","uuid"
"game_temporary_players","created_at","timestamp with time zone"
"game_temporary_players","created_by","uuid"
"game_players","game_id","uuid"
"game_players","player_id","uuid"
"game_players","joined_at","timestamp with time zone"
"game_players","is_temporary","boolean"
"locations","id","uuid"
"locations","created_at","timestamp with time zone"
"locations","updated_at","timestamp with time zone"
"locations","active","boolean"
"temporary_players","name","text"
"temporary_players","phone","text"
"temporary_players","gender","text"
"temporary_players","category","text"
"temporary_players","playing_side","text"
"profiles","phone","text"
"availability_time_slots","day","text"
"games","description","text"
"availability_time_slots","start_time","text"
"availability_time_slots","end_time","text"
"game_temporary_players","name","text"
"game_temporary_players","phone","text"
"game_temporary_players","gender","text"
"game_temporary_players","category","text"
"game_temporary_players","playing_side","text"
"profiles","cep","text"
"profiles","padel_category","text"
"game_temporary_players","join_message","text"
"profiles","beach_tennis_category","text"
"notifications","title","text"
"game_players","join_message","text"
"games","required_categories","ARRAY"
"games","locations","ARRAY"
"notifications","message","text"
"locations","name","text"
"locations","address","text"
"locations","phone","text"
"profiles","playing_side","text"
"availabilities","sports","ARRAY"
"availabilities","locations","ARRAY"
"availabilities","notes","text"
"availabilities","status","text"
"availabilities","duration","text"
"profiles","gender","text"
"profiles","avatar","text"
"profiles","email","text"
"profiles","name","text"